season,week,team,rating_linear
2019,1,Indiana State,4.951923076923078
2019,1,Iowa,3.548076923076909
2019,1,Iowa State,-6.951923076923071
2019,1,Jackson State,-18.951923076923052
2019,1,Jacksonville,-1.0480769230769058
2019,1,Jacksonville State,-2.048076923076942
2019,1,James Madison,4.951923076923054
2019,1,Kansas,-4.95192307692308
2019,1,Kansas State,9.048076923076902
2019,1,Kennesaw State,21.048076923076913
2019,1,Kent State,-3.048076923076927
2019,1,Kentucky,-1.4519230769230738
2019,1,LSU,17.54807692307693
2019,1,Lafayette,1.951923076923092
2019,1,Lamar,16.048076923076923
2019,1,Lehigh,-8.951923076923084
2019,1,Liberty,-20.451923076923094
2019,1,Louisiana,-4.999999999999986
2019,1,Louisiana Tech,-7.048076923076922
2019,1,Louisville,-17.4519230769231
2019,1,Maine,5.548076923076929
2019,1,Marshall,11.048076923076923
2019,1,Maryland,31.048076923076927
2019,1,Massachusetts,-5.048076923076918
2019,1,McNeese,-5.451923076923045
2019,1,Memphis,-5.951923076923102
2019,1,Mercer,19.451923076923084
2019,1,Merrimack,7.0480769230769
2019,1,Miami,-2.000000000000001
2019,1,Miami (OH),-3.5480769230769114
2019,1,Michigan,1.0480769230769214
2019,1,Michigan State,2.0480769230769464
2019,1,Middle Tennessee,-1.048076923076924
2019,1,Minnesota,-4.951923076923054
2019,1,Mississippi State,4.999999999999986
2019,1,Mississippi Valley State,5.451923076923059
2019,1,Missouri,5.451923076923073
2019,1,Missouri State,1.4519230769230826
2019,1,Monmouth,-9.048076923076932
2019,1,Montana,15.45192307692308
2019,1,Montana State,-9.048076923076943
2019,1,Morehead State,10.048076923076922
2019,1,Morehouse College,5.951923076923066
2019,1,Morgan State,-13.048076923076913
2019,1,Murray State,11.04807692307694
2019,1,NC State,5.548076923076955
2019,1,Navy,10.5480769230769
2019,1,Nebraska,-1.4519230769230866
2019,1,Nevada,-6.951923076923082
2019,1,New Mexico,-4.451923076923078
2019,1,New Mexico State,-17.048076923076934
2019,1,Nicholls,-9.048076923076906
2019,1,Norfolk State,6.951923076923063
2019,1,North Alabama,-3.951923076923057
2019,1,North Carolina,2.0000000000000195
2019,1,North Carolina A&T,-6.951923076923068
2019,1,North Carolina Central,-7.048076923076927
2019,1,North Dakota,11.548076923076929
2019,1,North Dakota State,15.04807692307692
2019,1,North Texas,1.548076923076893
2019,1,Northern Arizona,-1.4519230769230822
2019,1,Northern Colorado,-0.04807692307690215
2019,1,Northern Illinois,-1.4519230769230724
2019,1,Northern Iowa,6.951923076923071
2019,1,Northwestern,3.4519230769230878
2019,1,Northwestern State,-2.5480769230769296
2019,1,Notre Dame,17.451923076923098
2019,1,Ohio,2.0480769230769513
2019,1,Ohio State,3.5480769230769305
2019,1,Oklahoma,0.5480769230769228
2019,1,Oklahoma State,16.451923076923055
2019,1,Old Dominion,-6.951923076923063
2019,1,Ole Miss,5.951923076923104
2019,1,Oregon,-2.999999999999991
2019,1,Oregon State,-16.451923076923055
2019,1,Penn State,27.548076923076895
2019,1,Pikeville,-11.04807692307694
2019,1,Pittsburgh,-16.45192307692309
2019,1,Point University,-21.048076923076913
2019,1,Portland State,4.951923076923063
2019,1,Prairie View A&M,18.951923076923105
2019,1,Purdue,6.951923076923082
2019,1,Rhode Island,-2.0480769230769513
2019,1,Rice,4.951923076923064
2019,1,Richmond,1.0480769230768983
2019,1,Robert Morris,-5.548076923076938
2019,1,Rutgers,5.048076923076923
2019,1,SE Louisiana,2.0480769230769393
2019,1,SMU,11.95192307692306
2019,1,Sacramento State,20.548076923076913
2019,1,Sacred Heart,-5.548076923076932
2019,1,Sam Houston,4.451923076923078
2019,1,Samford,-2.3653846153846034
2019,1,San Diego,-0.5480769230769228
2019,1,San Diego State,-5.451923076923087
