season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,8,USC,Utah,32.0,34.0,False,Pac-12,Pac-12
2023,8,Louisiana,Georgia State,17.0,20.0,False,Sun Belt,Sun Belt
2023,8,McNeese,Incarnate Word,24.0,35.0,False,Southland,Southland
2023,8,Cal Poly,Northern Colorado,24.0,17.0,False,Big Sky,Big Sky
2023,8,Oklahoma Baptist,Northwestern Oklahoma State,28.0,7.0,False,Great American,Great American
2023,8,San Diego State,Nevada,0.0,6.0,False,Mountain West,Mountain West
2023,8,Central Washington,West Texas A&M,30.0,14.0,False,Lone Star,Lone Star
2023,8,NEWBERG,Willamette,63.0,10.0,False,Northwest,Northwest
2023,8,Chapman,California Lutheran University,38.0,10.0,False,So. Cal.,So. Cal.
2023,8,Sacramento State,Montana State,30.0,42.0,False,Big Sky,Big Sky
2023,8,Stanford,UCLA,7.0,42.0,False,Pac-12,Pac-12
2023,8,Washington,Arizona State,15.0,7.0,False,Pac-12,Pac-12
2023,9,Louisiana Tech,New Mexico State,24.0,27.0,False,Conference USA,Conference USA
2023,9,Western Kentucky,Liberty,29.0,42.0,False,Conference USA,Conference USA
2023,9,Florida International,Jacksonville State,16.0,41.0,False,Conference USA,Conference USA
2023,9,Sam Houston,UTEP,34.0,37.0,False,Conference USA,Conference USA
2023,9,Shorter,West Georgia,35.0,41.0,False,Gulf South,Gulf South
2023,9,Central Connecticut,Long Island University,23.0,24.0,False,NEC,NEC
2023,9,Southern Nazarene,Ouachita Baptist,28.0,49.0,False,Great American,Great American
2023,9,Lincoln (MO),Eastern New Mexico,17.0,62.0,False,Independent DII,Lone Star
2023,9,Georgia Southern,Georgia State,44.0,27.0,False,Sun Belt,Sun Belt
2023,9,North Carolina Central,South Carolina State,62.0,28.0,False,MEAC,MEAC
2023,9,Virginia Tech,Syracuse,38.0,10.0,False,ACC,ACC
2023,9,Pennsylvania,Brown,26.0,30.0,False,Ivy,Ivy
2023,9,Charlotte,Florida Atlantic,16.0,38.0,False,American Athletic,American Athletic
2023,9,Hilbert College,LYONCOLL,27.0,43.0,True,North Coast,
2023,9,MIT,Norwich,29.0,26.0,False,NEWMAC,NEWMAC
2023,9,Delaware State,Howard,10.0,17.0,False,MEAC,MEAC
2023,9,Bridgewater State,UMass Dartmouth,14.0,34.0,False,MSCAC,MSCAC
2023,9,Keystone,Catholic,14.0,26.0,False,Landmark Conference,Landmark Conference
2023,9,Mass Maritime,Framingham State,3.0,28.0,False,MSCAC,MSCAC
2023,9,Seton Hill,Edinboro University,38.0,28.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2023,9,Notre Dame College,Wheeling,28.0,25.0,False,Mountain East,Mountain East
2023,9,Davenport,Saginaw Valley State,24.0,21.0,False,GLIAC,GLIAC
2023,9,Findlay,Ohio Dominican,24.0,3.0,False,Great Midwest Athletic,Great Midwest Athletic
2023,9,Robert Morris,Tennessee Tech,13.0,38.0,False,Big South-OVC,Big South-OVC
2023,9,Westfield State,Plymouth State,19.0,20.0,False,MSCAC,MSCAC
2023,9,Tiffin,Walsh,40.0,13.0,False,Great Midwest Athletic,Great Midwest Athletic
2023,9,Army,Massachusetts,14.0,21.0,False,FBS Independents,FBS Independents
2023,9,Boston College,UConn,21.0,14.0,False,ACC,FBS Independents
2023,9,Northwestern,Maryland,33.0,27.0,False,Big Ten,Big Ten
2023,9,Texas A&M,South Carolina,30.0,17.0,False,SEC,SEC
2023,9,SMU,Tulsa,69.0,10.0,False,American Athletic,American Athletic
2023,9,Yale,Columbia,35.0,7.0,False,Ivy,Ivy
2023,9,Wagner,Stonehill,28.0,17.0,False,NEC,NEC
2023,9,Anna Maria College,Gallaudet,50.0,7.0,False,ECFC,ECFC
2023,9,Curry College,Nichols College,48.0,46.0,False,Commonwealth Coast,Commonwealth Coast
2023,9,Rensselaer,University of Rochester (NY),49.0,10.0,False,Liberty League,Liberty League
2023,9,Husson,Endicott College,13.0,23.0,False,Commonwealth Coast,Commonwealth Coast
2023,9,Penn State,Indiana,33.0,24.0,False,Big Ten,Big Ten
2023,9,Delaware Valley,Stevenson,21.0,14.0,False,Mid Atlantic,Mid Atlantic
2023,9,St John Fisher University,Alfred University,30.0,12.0,False,Empire 8,Empire 8
2023,9,Limestone,Newberry,28.0,24.0,False,South Atlantic,South Atlantic
2023,9,Springfield,Merchant Marine Academy,21.0,14.0,False,NEWMAC,NEWMAC
2023,9,Sacred Heart,Duquesne,0.0,27.0,False,NEC,NEC
2023,9,Depauw,Kenyon,58.0,7.0,False,North Coast,North Coast
2023,9,Oberlin,Ohio Wesleyan,7.0,50.0,False,North Coast,North Coast
2023,9,PennWest California,Mercyhurst,58.0,19.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2023,9,Wake Forest,Florida State,16.0,41.0,False,ACC,ACC
2023,9,Kansas,Oklahoma,38.0,33.0,False,Big 12,Big 12
2023,9,Kansas State,Houston,41.0,0.0,False,Big 12,Big 12
2023,9,UCF,West Virginia,28.0,41.0,False,Big 12,Big 12
2023,9,Georgetown,Lafayette,25.0,35.0,False,Patriot,Patriot
2023,9,Wisconsin-Lacrosse,Wisconsin-Eau Claire,59.0,14.0,False,Wisconsin,Wisconsin
2023,9,Colby College,Middlebury,,,False,NESCAC,NESCAC
2023,9,Westminster College (MO),Greenville,6.0,38.0,False,Upper Midwest,Upper Midwest
2023,9,Guilford College,Hampden-Sydney,21.0,42.0,False,Old Dominion,Old Dominion
2023,9,Lebanon Valley,Reading,34.0,26.0,False,Mid Atlantic,Mid Atlantic
